X-position, Y-position, Z-position, X-pixel, Y-pixel, mua, mus, muaLUT, musLUT
38.91, 4.12, 4074.63,, 791.74, 370.76, 0.0135, 0.5367, 0.0133, 0.5426
38.89, 4.09, 4073.78,, 791.69, 370.67, 0.0137, 0.5280, 0.0133, 0.5426
38.94, 4.59, 4074.35,, 791.84, 372.43, 0.0135, 0.5385, 0.0131, 0.5542
38.96, 5.62, 4062.98,, 792.35, 376.08, 0.0136, 0.5241, 0.0131, 0.5426
39.23, 8.01, 4041.74,, 794.12, 384.67, 0.0137, 0.5196, 0.0131, 0.5426
39.12, 9.59, 4030.57,, 794.13, 390.38, 0.0142, 0.5116, 0.0137, 0.5309
38.05, 15.33, 3984.82,, 791.70, 411.42, 0.0150, 0.5024, 0.0145, 0.5193
37.20, 19.15, 3955.54,, 789.48, 425.66, 0.0148, 0.4995, 0.0145, 0.5076
37.10, 19.52, 3950.00,, 789.32, 427.11, 0.0144, 0.5044, 0.0139, 0.5193
37.31, 19.78, 3953.74,, 789.99, 427.99, 0.0144, 0.5055, 0.0137, 0.5309
37.46, 20.12, 3948.32,, 790.77, 429.31, 0.0144, 0.5076, 0.0137, 0.5309
37.40, 20.00, 3952.52,, 790.36, 428.81, 0.0141, 0.5214, 0.0135, 0.5426
37.41, 19.95, 3954.13,, 790.34, 428.58, 0.0146, 0.5086, 0.0139, 0.5309
37.34, 19.99, 3953.32,, 790.12, 428.75, 0.0141, 0.5225, 0.0135, 0.5426
37.25, 19.83, 3955.09,, 789.70, 428.13, 0.0141, 0.5263, 0.0139, 0.5309
37.10, 19.57, 3956.11,, 789.07, 427.17, 0.0139, 0.5366, 0.0137, 0.5426
29.70, 15.87, 3994.69,, 759.15, 413.21, 0.0154, 0.5037, 0.0149, 0.5193
29.00, 13.68, 4006.24,, 756.14, 405.22, 0.0192, 0.4353, 0.0181, 0.4727
28.96, 13.85, 4009.08,, 755.92, 405.78, 0.0198, 0.4238, 0.0183, 0.4727
28.94, 13.75, 4011.37,, 755.77, 405.40, 0.0192, 0.4428, 0.0183, 0.4727
28.75, 13.59, 4014.82,, 754.94, 404.79, 0.0192, 0.4386, 0.0179, 0.4843
20.37, 11.24, 4040.43,, 722.32, 396.14, 0.0191, 0.4398, 0.0181, 0.4727
19.92, 11.27, 4039.51,, 720.61, 396.27, 0.0180, 0.4527, 0.0171, 0.4843
19.95, 11.33, 4035.59,, 720.81, 396.50, 0.0182, 0.4524, 0.0173, 0.4843
19.68, 11.36, 4037.03,, 719.74, 396.59, 0.0177, 0.4750, 0.0173, 0.4843
13.69, 10.63, 4047.94,, 696.78, 393.92, 0.0168, 0.4564, 0.0157, 0.4960
12.62, 10.44, 4050.16,, 692.67, 393.23, 0.0150, 0.4940, 0.0143, 0.5193
9.15, 9.79, 4060.96,, 679.38, 390.84, 0.0137, 0.5249, 0.0131, 0.5426
6.18, 9.09, 4066.75,, 668.09, 388.29, 0.0128, 0.5542, 0.0125, 0.5659
3.26, 8.43, 4068.62,, 657.03, 385.97, 0.0119, 0.5755, 0.0119, 0.5775
2.05, 8.25, 4070.87,, 652.45, 385.31, 0.0119, 0.5749, 0.0115, 0.5892
0.42, 7.79, 4072.46,, 646.27, 383.70, 0.0119, 0.5788, 0.0119, 0.5775
-2.00, 7.48, 4067.03,, 637.13, 382.64, 0.0123, 0.5646, 0.0115, 0.5892
-5.63, 7.01, 4079.48,, 623.47, 380.89, 0.0116, 0.5746, 0.0115, 0.5775
-8.55, 6.65, 4079.68,, 612.44, 379.64, 0.0111, 0.5862, 0.0111, 0.5892
-13.44, 5.91, 4072.15,, 593.89, 377.08, 0.0114, 0.5791, 0.0111, 0.5892
-27.48, 3.96, 4078.91,, 540.99, 370.21, 0.0111, 0.5906, 0.0111, 0.5892
-44.48, 1.93, 4085.81,, 477.10, 363.03, 0.0114, 0.5919, 0.0115, 0.5892
-45.65, 1.74, 4078.87,, 472.41, 362.40, 0.0115, 0.5881, 0.0115, 0.5892
-49.92, 1.71, 4077.30,, 456.19, 362.28, 0.0113, 0.5930, 0.0113, 0.5892
-50.75, 1.72, 4081.79,, 453.29, 362.33, 0.0116, 0.5803, 0.0113, 0.5892
